time,sPMV,baseline,flexibility_below,flexibility_above,energy_average,t_r,rh_r,hour,day_of_week,is_weekend,synthetic_baseline,synthetic_flexibility_above,synthetic_flexibility_below,co2_ppm,forecasted_sPMV
2024-07-01 00:00:00+00:00,0.32,580.8091666666667,506.8487096774194,656.1348387096774,90.22,25.283497397305464,67.62669671386116,0.0,0.0,0.0,1.0,1.0,1.0,542.9731791718502,-0.33335108
2024-07-01 01:00:00+00:00,0.33,602.7146944444445,534.7666666666665,664.6683333333333,76.88,25.295330122027675,68.00859826427774,1.0,0.0,0.0,1.0,1.0,1.0,438.32618979353,-0.329996
2024-07-01 02:00:00+00:00,0.33,602.6699722222222,538.5433333333335,658.9753333333337,93.05,25.305074961333275,68.18190460227787,2.0,0.0,0.0,1.0,1.0,1.0,516.6249958469056,-0.32931823
2024-07-01 03:00:00+00:00,0.34,611.1802777777777,539.926,673.7423333333335,80.68,25.32114119342624,68.39146625259053,3.0,0.0,0.0,1.0,1.0,1.0,489.094335559556,-0.33003142
2024-07-01 04:00:00+00:00,0.34,614.4568333333334,552.227,670.1256666666667,91.6,25.3337478165278,68.7075795915,4.0,0.0,0.0,1.0,1.0,1.0,518.1093154147824,-0.33156505
2024-07-01 05:00:00+00:00,0.36,619.9373333333333,556.7493333333333,681.6080000000002,75.69,25.355136652722194,70.06735121416665,5.0,0.0,0.0,1.0,1.0,1.0,534.1735055926262,-0.332795
2024-07-01 06:00:00+00:00,0.37,719.8581944444445,587.6550000000002,844.819,320.7,25.369691773611105,71.47958486349992,6.0,0.0,0.0,1.0,1.0,1.0,666.0299376672539,-0.33364192
2024-07-01 07:00:00+00:00,0.37,818.8653494623657,622.8335483870966,1072.7454838709675,156.64,25.379358041916664,70.37289246425006,7.0,0.0,0.0,1.0,1.0,1.0,788.6282954965067,-0.33260927
2024-07-01 08:00:00+00:00,0.38,846.1425277777777,574.3399999999998,1195.8650000000002,121.05,25.424285788384378,69.95405130197771,8.0,0.0,0.0,1.0,1.0,1.0,910.9650889809584,-0.33019775
2024-07-01 09:00:00+00:00,0.38,858.511369047619,530.2664285714287,1231.8514285714284,170.1,25.42227546975,69.83763175527781,9.0,0.0,0.0,1.0,1.0,1.0,1038.633204642617,-0.32765308
2024-07-01 10:00:00+00:00,0.32,1131.6996551724137,811.0724137931034,1493.3868965517242,506.15,25.335219271472216,64.65397643000004,10.0,0.0,0.0,1.0,1.0,1.0,1233.3447310452627,-0.32648167
2024-07-01 11:00:00+00:00,0.37,1148.1036494252874,898.0237931034482,1452.6368965517245,450.37,25.40649723566667,69.27385084366671,11.0,0.0,0.0,1.0,1.0,1.0,1264.3480237036608,-0.3241994
2024-07-01 12:00:00+00:00,0.38,770.1794940476192,593.3907142857145,930.4935714285714,84.62,25.41496969941668,70.4815635470833,12.0,0.0,0.0,1.0,1.0,1.0,1223.9632463074774,-0.3199035
2024-07-01 13:00:00+00:00,0.39,603.0584482758619,496.71241379310334,733.2144827586208,79.35,25.44708828988854,70.86943999902508,13.0,0.0,0.0,1.0,1.0,1.0,1108.9259996016067,-0.31396523
2024-07-01 14:00:00+00:00,0.38,668.9899444444443,500.01100000000014,884.9503333333333,376.02,25.448715115555544,69.74738310705553,14.0,0.0,0.0,1.0,1.0,1.0,1034.4045094810904,-0.30548787
2024-07-01 15:00:00+00:00,0.22,688.7529885057471,495.1713793103448,939.4596551724142,645.27,25.0506360850278,62.1301841842222,15.0,0.0,0.0,1.0,1.0,1.0,982.3543198979688,-0.29726264
2024-07-01 16:00:00+00:00,0.1,695.6124739583333,532.8931249999999,880.9999999999998,549.5,24.586552599055555,66.31824843091663,16.0,0.0,0.0,1.0,1.0,1.0,1187.2243813027878,-0.28814292
2024-07-01 17:00:00+00:00,0.14,809.7457291666664,627.8912500000001,1039.5481249999998,423.57,24.69952516558336,65.89566635544442,17.0,0.0,0.0,1.0,1.0,1.0,1092.970182873429,-0.27474135
2024-07-01 18:00:00+00:00,0.18,1051.0362760416667,852.5559374999998,1304.3128125000003,386.15,24.82527503427777,66.73947366080554,18.0,0.0,0.0,1.0,1.0,1.0,974.2000184719254,-0.25223437
