time,energy_average,baseline,flexibility_above,flexibility_below
2025-06-04 00:00:00+00:00,0.0,564.6850000000001,1071.42,66.13
2025-06-04 01:00:00+00:00,0.0,562.0275,1063.05,73.02
2025-06-04 02:00:00+00:00,0.0,577.2824999999999,1051.55,95.28
2025-06-04 03:00:00+00:00,0.0,593.85,1107.0,66.48
2025-06-04 04:00:00+00:00,0.0,594.25,1133.62,66.55
2025-06-04 05:00:00+00:00,0.0,752.8299999999999,1095.98,123.22
2025-06-04 06:00:00+00:00,0.0,702.1424999999999,1042.12,202.83
2025-06-04 07:00:00+00:00,0.0,689.6025,1045.83,101.37
2025-06-04 08:00:00+00:00,0.0,629.3825,1039.39,68.56
2025-06-04 09:00:00+00:00,0.0,782.4325000000001,1123.39,67.63
2025-06-04 10:00:00+00:00,0.0,1091.1125,1547.78,397.55
2025-06-04 11:00:00+00:00,0.0,828.1925,1830.53,126.23
2025-06-04 12:00:00+00:00,0.0,790.5350000000001,1091.67,357.17
2025-06-04 13:00:00+00:00,0.0,648.98,1167.69,88.4
2025-06-04 14:00:00+00:00,0.0,630.2925,1166.05,94.67
2025-06-04 15:00:00+00:00,0.0,629.5675,1100.12,106.63
2025-06-04 16:00:00+00:00,0.0,634.2850000000001,1071.28,104.3
2025-06-04 17:00:00+00:00,0.0,759.6800000000001,1232.73,212.53
2025-06-04 18:00:00+00:00,0.0,825.3299999999999,1530.62,116.42
2025-06-04 19:00:00+00:00,0.0,719.4275,1087.63,100.13
2025-06-04 20:00:00+00:00,0.0,648.7725,1085.07,117.07
2025-06-04 21:00:00+00:00,0.0,632.2325,1046.62,107.73
2025-06-04 22:00:00+00:00,0.0,593.3775,1053.9,64.61
2025-06-04 23:00:00+00:00,0.0,613.3425,1070.38,70.0
