time,forecasted_sPMV
2025-06-04 00:00:00+00:00,-0.33327594
2025-06-04 01:00:00+00:00,-0.33469638
2025-06-04 02:00:00+00:00,-0.3347024
2025-06-04 03:00:00+00:00,-0.33390525
2025-06-04 04:00:00+00:00,-0.33273816
2025-06-04 05:00:00+00:00,-0.33121172
2025-06-04 06:00:00+00:00,-0.32929876
2025-06-04 07:00:00+00:00,-0.32688773
2025-06-04 08:00:00+00:00,-0.3238488
2025-06-04 09:00:00+00:00,-0.32005018
2025-06-04 10:00:00+00:00,-0.31536305
2025-06-04 11:00:00+00:00,-0.3096167
2025-06-04 12:00:00+00:00,-0.3025389
2025-06-04 13:00:00+00:00,-0.29376146
2025-06-04 14:00:00+00:00,-0.28284186
2025-06-04 15:00:00+00:00,-0.2692127
2025-06-04 16:00:00+00:00,-0.25212386
2025-06-04 17:00:00+00:00,-0.23071188
2025-06-04 18:00:00+00:00,-0.20450976
2025-06-04 19:00:00+00:00,-0.1704495
2025-06-04 20:00:00+00:00,-0.124041505
2025-06-04 21:00:00+00:00,-0.06956651
2025-06-04 22:00:00+00:00,-0.001735203
2025-06-04 23:00:00+00:00,0.075886495
