Hour,Temperature (C),Humidity (%),Energy (Wh)
0,24.52,58.06,115.68
1,24.61,58.39,183.68
2,24.63,58.80,54.96
3,24.56,59.73,142.81
4,24.48,60.12,151.07
5,24.43,60.73,194.85
6,24.41,61.14,266.53
7,24.40,61.33,247.08
8,24.38,61.60,187.39
9,24.42,61.63,94.53
10,24.41,61.72,79.91
11,24.49,61.65,164.93
12,24.66,61.28,164.21
13,24.38,62.12,111.74
14,24.34,60.75,87.50
15,24.13,59.64,89.54
16,23.99,56.13,146.95
17,24.71,56.67,36.35
18,25.16,57.04,210.92
19,24.81,58.91,68.57
20,24.80,59.54,7.38
21,24.86,59.80,139.35
22,24.93,60.04,99.62
23,24.99,60.11,120.03
