time,energy_average,baseline,flexibility_above,flexibility_below
2025-06-04 00:00:00+00:00,0.0,75.035,79.13,71.07
2025-06-04 01:00:00+00:00,0.0,73.25999999999999,74.08,72.65
2025-06-04 02:00:00+00:00,0.0,73.46749999999999,76.1,72.27
2025-06-04 03:00:00+00:00,0.0,73.365,77.83,71.33
2025-06-04 04:00:00+00:00,0.0,74.8675,77.28,72.12
2025-06-04 05:00:00+00:00,0.0,116.775,171.48,76.27
2025-06-04 06:00:00+00:00,0.0,297.7825,844.58,77.37
2025-06-04 07:00:00+00:00,0.0,458.20000000000005,1351.78,75.4
2025-06-04 08:00:00+00:00,0.0,202.15500000000003,555.32,68.39
2025-06-04 09:00:00+00:00,0.0,79.565,105.83,67.97
2025-06-04 10:00:00+00:00,0.0,422.82750000000004,1041.49,86.33
2025-06-04 11:00:00+00:00,0.0,248.805,351.22,156.85
2025-06-04 12:00:00+00:00,0.0,125.64999999999999,196.35,89.13
2025-06-04 13:00:00+00:00,0.0,102.10499999999999,112.58,92.2
2025-06-04 14:00:00+00:00,0.0,105.10499999999999,118.22,79.87
2025-06-04 15:00:00+00:00,0.0,102.385,118.72,74.37
2025-06-04 16:00:00+00:00,0.0,96.55,109.72,79.0
2025-06-04 17:00:00+00:00,0.0,281.175,568.78,105.67
2025-06-04 18:00:00+00:00,0.0,213.24,382.82,102.22
2025-06-04 19:00:00+00:00,0.0,161.8825,197.35,102.33
2025-06-04 20:00:00+00:00,0.0,261.555,369.1,164.7
2025-06-04 21:00:00+00:00,0.0,200.01749999999998,289.78,94.72
2025-06-04 22:00:00+00:00,0.0,207.78249999999997,366.38,80.08
2025-06-04 23:00:00+00:00,0.0,84.725,93.54,76.98
