Hour,Temperature (C),Humidity (%),Energy (Wh)
0,25.95,57.61,236.03
1,25.96,57.49,228.82
2,25.83,57.46,178.18
3,25.75,57.42,186.03
4,25.72,57.44,135.06
5,25.52,56.44,259.77
6,25.29,55.52,39.90
7,25.20,54.51,107.92
8,25.09,49.39,35.39
9,25.06,48.57,167.72
10,25.23,52.57,189.34
11,25.40,54.87,114.57
12,25.53,55.95,194.15
13,25.63,56.34,94.00
14,25.67,56.66,57.01
15,25.68,57.04,131.92
16,25.68,57.21,108.20
17,25.68,57.24,212.30
18,25.54,56.30,132.88
19,25.65,57.31,228.26
20,25.81,57.74,227.16
21,25.83,58.12,97.77
22,25.74,58.71,65.84
23,25.71,58.85,181.06
