time,forecasted_sPMV
2025-06-04 00:00:00+00:00,-0.30910665
2025-06-04 01:00:00+00:00,-0.30783758
2025-06-04 02:00:00+00:00,-0.30435768
2025-06-04 03:00:00+00:00,-0.30222464
2025-06-04 04:00:00+00:00,-0.3009093
2025-06-04 05:00:00+00:00,-0.30003014
2025-06-04 06:00:00+00:00,-0.29926607
2025-06-04 07:00:00+00:00,-0.29850015
2025-06-04 08:00:00+00:00,-0.29734555
2025-06-04 09:00:00+00:00,-0.29430023
2025-06-04 10:00:00+00:00,-0.28967226
2025-06-04 11:00:00+00:00,-0.2840555
2025-06-04 12:00:00+00:00,-0.27720517
2025-06-04 13:00:00+00:00,-0.26876178
2025-06-04 14:00:00+00:00,-0.2583384
2025-06-04 15:00:00+00:00,-0.24544096
2025-06-04 16:00:00+00:00,-0.22941104
2025-06-04 17:00:00+00:00,-0.20940349
2025-06-04 18:00:00+00:00,-0.18411508
2025-06-04 19:00:00+00:00,-0.15213749
2025-06-04 20:00:00+00:00,-0.10908631
2025-06-04 21:00:00+00:00,-0.05525676
2025-06-04 22:00:00+00:00,0.0074823275
2025-06-04 23:00:00+00:00,0.07754079
